SSC,Chemistry,HSC,Merit,JEE,Final,Admittance
86.33,78,82.4,64.50159136,50,38,1
91.09,62,78.46,64.31869075,35,34,0
88.91,84,89.85,89.83783455,65,35,0
82.6,63,71.38,61.66002738,40,29,0
73.8,86,78,57.94537887,38,25,0
81.82,52,64.62,48.86135113,31,25,0
88.55,65,69.69,68.93725162,38,41,1
79.82,62,69.38,84.99533723,59,29,0
65.82,59,68.62,74.40830826,55,26,0
90.36,57,63.69,65.65461109,54,30,0
79.27,53,70.62,68.07827257,52,25,0
84.18,59,72.77,58.08647765,24,35,0
94.36,69,82.15,93.3740522,93,39,1
88.6,62,74.62,63.49260585,35,45,1
91.27,74,82,86.91964976,62,30,0
91.45,76,82.92,83.32251802,52,42,1
92.91,53,67.69,55.5844,30,26,0
87.64,57,78.77,84.1035663,66,44,1
93.1,95,91.4,90.35595749,104,47,1
93.6,95,86.6,84.41474047,82,36,1
69.6,51,64.31,72.5625,58,33,0
83.2,73,81.2,64.31284769,44,35,0
95.09,64,74.77,80.6733,59,38,1
93,94,94.2,87.57679214,65,41,1
92.18,70,73.54,88.75365015,82,41,1
81.67,88,89,70.16219697,38,30,0
99.27,62,70.77,86.707,86,47,1
76.5,63,76,64.38221571,36,28,0
93.45,66,84.92,88.2286427,68,46,1
81.82,45,60.92,32.91021088,7,28,0
64,58,69.54,37.26319502,5,25,0
93.82,72,88,93.76349352,85,48,1
86.36,68,78.62,83.78302545,52,46,1
90.55,83,88,77.65930177,41,41,1
93.27,59,73.08,84.75417116,65,38,1
79.6,86,82.6,86.74911802,109,24,0
88,81,82,83.13410645,86,36,1
89.64,65,76.92,84.67000131,72,31,0
83.09,68,81.69,75.06423184,39,43,1
82.91,77,70.15,78.78999547,51,35,0
86.91,69,73.85,85.57968455,68,36,1
93.64,80,88.15,87.1622622,59,38,1
88.55,65,76.92,71.01515871,36,26,0
81.5,80,88.31,93.0328,81,39,1
94,91,83.4,87.01741151,106,49,1
88.36,78,82.15,80.0935273,47,36,1
92.91,63,78.31,66.64518254,30,42,1
85.45,50,62.92,71.05296825,60,32,0
87.83,83,80.15,93.9058,102,44,1
74.1,94,91.4,90.8612,87,42,1
94,83,84,90.2253,69,42,1
95.27,77,86.62,94.4436,89,37,1
94.18,75,78,94.3971,102,36,1
90.2,95,86.4,91.7402,90,34,0
93.27,75,84.77,94.0297,84,41,1
93.82,80,87.38,91.6019,73,43,1
86,86,81.4,76.27162773,64,24,0
91.8,49,70.62,56.98384624,38,25,0
84,83,89.6,383855,20,35,0
81.64,60,71.08,75.25637276,59,37,1
76.55,45,61.23,63.18085028,72,16,0
86.55,75,79.69,92.7699,89,33,0
91.27,74,81.69,83.58052177,59,41,1
87.64,56,76.46,74.08447583,42,28,0
86,82,77.8,72.48595147,61,26,0
87.8,67,75,57.44602335,40,32,0
73.27,46,60,60.36116406,47,35,0
95.45,81,88.31,85728,70,36,1
89.2,78,73.6,55.66734038,38,30,0
86.55,58,71.38,66.458,47,36,1
91.64,40,61.85,64.83660385,58,24,0
81.5,56,62.15,48.33846135,38,30,0
88.91,55,70.77,48.75091653,21,37,1
93.09,69,81.54,89.1439,75,29,0
91,56,78.62,76.09888043,49,37,1
86.36,60,64.15,57.50677619,31,36,1
72.73,57,67.85,56.42338281,24,24,0
80.91,50,68.46,75.44904224,70,27,0
91.64,56,70.77,74.18190887,50,20,0
82.55,76,70.31,80.35771106,53,37,1
94.18,76,87.08,56544,101,40,1
86.91,55,77.69,77.84623066,53,32,0
60,49,63.69,62.5578661,38,7,0
91.09,71,79.69,91.7646,87,39,1
84.6,83,77.85,61.6672,23,24,0
82.18,50,66.77,27.86357203,-10,13,0
90.36,70,79.38,71.66658271,37,33,0
80.36,79,68.46,84.4333061,58,29,0
70.73,40,55.85,49.0073,53,28,0
94.36,89,83.08,94.2442,90,35,0
85.5,71,62.2,57.36971199,42,24,0
84,63,75.54,81.30194993,59,40,1
78.36,61,73.69,72.76630519,43,34,0
72.2,65,64.77,83.58540128,77,29,0
83.6,64,71.69,66.8108,39,26,0
92,63,69.23,79.11007889,53,34,0
85.27,58,76.31,83.54455452,67,27,0
80.4,90,77.6,68.84396588,54,34,0
95.6,79,90.15,47303,81,43,1
87.64,69,76.31,74.8372,44,50,1
84.91,54,57.85,75.22121104,89,24,0
88.55,59,76.31,82.33730719,66,31,0
81.6,57,64.15,38.39364034,11,27,0
87.4,95,82.4,77.54610455,67,35,0
